2025-05-28 22:03:36,925 | WARNING | SimpleTokenizer | Unrecognized word: 'of', replacing with <UNK> instead of adding dynamically.
2025-05-28 22:08:10,733 | INFO | SimpleTokenizer | Vocabulary loaded from tokenizer_vocab.json with 153 words.
2025-05-28 22:08:10,845 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 22:08:19,385 | WARNING | SimpleTokenizer | Unrecognized word: 'wahts', replacing with <UNK> instead of adding dynamically.
2025-05-28 22:08:19,386 | WARNING | SimpleTokenizer | Unrecognized word: 'name', replacing with <UNK> instead of adding dynamically.
2025-05-28 22:08:19,407 | WARNING | SimpleTokenizer | Unrecognized word: 'wahts', replacing with <UNK> instead of adding dynamically.
2025-05-28 22:08:19,408 | WARNING | SimpleTokenizer | Unrecognized word: 'name', replacing with <UNK> instead of adding dynamically.
2025-05-28 22:09:16,547 | INFO | SimpleTokenizer | Vocabulary loaded from tokenizer_vocab.json with 153 words.
2025-05-28 22:09:16,654 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 22:09:22,388 | WARNING | SimpleTokenizer | Unrecognized word: 'whats', replacing with <UNK> instead of adding dynamically.
2025-05-28 22:09:22,388 | WARNING | SimpleTokenizer | Unrecognized word: 'name', replacing with <UNK> instead of adding dynamically.
2025-05-28 22:09:22,405 | WARNING | SimpleTokenizer | Unrecognized word: 'whats', replacing with <UNK> instead of adding dynamically.
2025-05-28 22:09:22,406 | WARNING | SimpleTokenizer | Unrecognized word: 'name', replacing with <UNK> instead of adding dynamically.
2025-05-28 22:12:55,987 | INFO | SimpleTokenizer | Vocabulary loaded from tokenizer_vocab.json with 153 words.
2025-05-28 22:12:56,113 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 22:14:34,857 | INFO | SimpleTokenizer | Vocabulary loaded from tokenizer_vocab.json with 153 words.
2025-05-28 22:14:34,959 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 22:14:42,086 | WARNING | SimpleTokenizer | Unrecognized word: 'whats', replacing with <UNK> instead of adding dynamically.
2025-05-28 22:14:42,087 | WARNING | SimpleTokenizer | Unrecognized word: 'name', replacing with <UNK> instead of adding dynamically.
2025-05-28 22:14:42,119 | WARNING | SimpleTokenizer | Unrecognized word: 'whats', replacing with <UNK> instead of adding dynamically.
2025-05-28 22:14:42,120 | WARNING | SimpleTokenizer | Unrecognized word: 'name', replacing with <UNK> instead of adding dynamically.
2025-05-28 22:15:41,631 | WARNING | SimpleTokenizer | Unrecognized word: 'what', replacing with <UNK> instead of adding dynamically.
2025-05-28 22:15:41,631 | WARNING | SimpleTokenizer | Unrecognized word: 's', replacing with <UNK> instead of adding dynamically.
2025-05-28 22:15:41,631 | WARNING | SimpleTokenizer | Unrecognized word: 'capital', replacing with <UNK> instead of adding dynamically.
2025-05-28 22:15:41,631 | WARNING | SimpleTokenizer | Unrecognized word: 'of', replacing with <UNK> instead of adding dynamically.
2025-05-28 22:15:41,648 | WARNING | SimpleTokenizer | Unrecognized word: 'what', replacing with <UNK> instead of adding dynamically.
2025-05-28 22:15:41,648 | WARNING | SimpleTokenizer | Unrecognized word: 's', replacing with <UNK> instead of adding dynamically.
2025-05-28 22:15:41,648 | WARNING | SimpleTokenizer | Unrecognized word: 'capital', replacing with <UNK> instead of adding dynamically.
2025-05-28 22:15:41,648 | WARNING | SimpleTokenizer | Unrecognized word: 'of', replacing with <UNK> instead of adding dynamically.
2025-05-28 22:17:51,856 | INFO | SimpleTokenizer | Vocabulary loaded from tokenizer_vocab.json with 153 words.
2025-05-28 22:17:51,967 | INFO | SimpleTokenizer |  Vocab saved to tokenizer_vocab.json
2025-05-28 22:17:56,037 | WARNING | SimpleTokenizer | Unrecognized word: 'wahts', replacing with <UNK> instead of adding dynamically.
2025-05-28 22:17:56,037 | WARNING | SimpleTokenizer | Unrecognized word: 'name', replacing with <UNK> instead of adding dynamically.
2025-05-28 22:17:56,060 | WARNING | SimpleTokenizer | Unrecognized word: 'wahts', replacing with <UNK> instead of adding dynamically.
2025-05-28 22:17:56,060 | WARNING | SimpleTokenizer | Unrecognized word: 'name', replacing with <UNK> instead of adding dynamically.
2025-05-28 22:20:22,109 | INFO | SimpleTokenizer | Vocabulary loaded from tokenizer_vocab.json with 153 words.
2025-05-28 22:20:22,238 | INFO | SimpleTokenizer | Vocab saved to tokenizer_vocab.json
2025-05-28 22:20:22,240 | INFO | SimpleTokenizer | Vocab file successfully saved. Contains 153 words.
